Actual,Predict,Path,Sampling Rate
បាទ ហើយកត្តាមួយទៀតហ្នឹង វាធ្វើឲ្យលូហ្នឹងវាមានលក្ខណៈស្ទះ បាទ លូហ្នឹងវាមានលក្ខណៈស្ទះ ហើយអញ្ចឹងទៅវាធ្វើឲ្យបរិស្ថានហ្នឹងគឺវាកខ្វក់តាមហ្នឹងដែរ,ហើយកត្តាមួយទៀតនោះ វាធ្វើអោយលូហ្នឹងវាមានលក្ខណៈស្ទះ វាមានលក្ខណៈស្ទះ ហើយអញ្ចឹងទៅ វាធ្វើអោយបរិស្ថានហ្នឹងក៏វាក់ខ្វក់តាមហ្នឹងដែរ,7_8.wav,16000
បើសិនជាលូស្ទះហើយ  ពេលដែលយើងធ្វើដំណើរទៅមកហ្នឹង វាធ្វើឲ្យមានការ បាទ ឡើងទឹក  ត្រឹមជង្គង់យើង  ឬមួយក៏ត្រឹមចង្កេះ,ប្រសិនជាលូស្ទះហើយពេលអញ្ចឹងពេលដែលយើងធ្វើដំណើរទៅមកហ្នឹង វាធ្វើឲ្យមានការឡើងទឹកអីចឹងនៅត្រឹមចង្គង់យើងអីចឹងរឿងមួយទ្រឹមជាក់ែ,7_9.wav,16000
ធ្វើឲ្យយើងមានការពិបាកក្នុងការធ្វើដំណើរទៅមកៗ បាទ ហើយក៏មានការផ្ដល់ឲ្យ មានលក្ខណៈយឺត បាទ ព្រោះថាយើងចង់ទៅណាមួយ,ធ្វើឲ្យយើងហ្នឹងមានការពិបាកក្នុងការធ្វើដំណើរទៅមកទៅម៉ោង បាទ ហើយក៏មានការផ្តល់អោយដោយថាមានលក្ខណៈយឺត ព្រោះថាយើងចង់ទៅណាមួយ,7_10.wav,16000
យើងមាន យើងចង់បានទៅទីនោះលឿន ប៉ុន្តែពេលដែលមានបញ្ហាលិចទឹកហើយ គឺវាធ្វើឲ្យយើងហ្នឹង បង្កើនភាពយឺតទៅវិញ បាទ បង្កើនភាពយឺតទៅវិញ,យើងចង់បានទៅទីនោះលឿន ប៉ុន្តែពេលដែលមានបញ្ហាលេចទឹកហើយគឺវាធ្វើអោយយើងហ្នឹងបង្កើនភាពយឺទៅវិញបាទ,7_11.wav,16000
បាទ នៅក្នុងទីក្រុងភ្នំពេញ ក៏ដូចជានៅខេត្តសៀមរាប ប្រសិនជាមានភ្លៀងធ្លាក់មួយមេ ឬមួយក៏ពីរមេ,បាទ! នៅក្នុងទីក្រុងភ្នំពេញក៏ដូចជានៅខេត្តសៀមរាប ប្រសិនជាមានភ្លៀងធ្លាក់មួយមេរឬមួយក៏ពីមេរ,7_13.wav,16000
ដូច្នេះវាមិនមានផលល្អ ពេលដែលមានទឹកឡើង ឬមួយក៏ភ្លៀងខ្លាំងនោះទេ,ទូច្នេះ វាមិនមានផលល្អពេលដែលមានទឹកឡើងនៅមួយក៏ភ្លៀងខ្លាំងនោះទេ,7_12.wav,16000
ហើយពេលដែលលិចទឹកនោះ គឺវាមិនបានផ្ដល់ចំណេញអីទេនៅទីក្រុង,ហើយពេលដែលលេចទឹកនោះ វាមិនបានផ្តល់ចំណេញឯទេនៃទីក្រុង,7_16.wav,16000
ប៉ុន្តែវាបានបំផ្លាញទៅវិញ បាទ បំផ្លាញយ៉ាងមិច គឺ ពេលដែលភ្លៀងមក គឺវាបំផ្លាញផ្លូវ បាទ វាធ្វើឲ្យបាក់ផ្លូវ វាធ្វើឲ្យស្រុតដី បាទ វាធ្វើឲ្យយើងហ្នឹងយ៉ាប់ធ្វើដំណើរ បាទ,ប៉ុន្តែវាបានបំប្លាញទៅវិញ បំបំប្លាញយ៉ាងម៉េច ពេលដែលភ្លៀងមក គឺវាបំប្លាញផ្លូវ វាធ្វើអោយស្រុតដី វាធ្វើឲ្យយើងហ្នឹងញាប់ធ្វើដំណើរ,7_17.wav,16000
ព្រោះថាពេលដែលមានភ្លៀងម្ដងៗ គឺមានលក្ខណៈ ដូចថានៅតំបន់ខ្លះ គឺវាលិចទឹក បាទ ហើយយើងយ៉ាប់ធ្វើដំណើរ,ពីព្រោះថាពេលដែលភ្លៀងប្ដងៗគឺមានលក្ខណៈដូចថានៅតំបន់ខ្លះ គឺវាលេចទឹក ហើយយើងយ៉ាប់ធ្វើដំណើរ,7_15.wav,16000
គឺចាយលុយអស់ចំនួន ១០ ដុល្លារ អីអញ្ចឹងទៅ ដូច្នេះវាធ្វើឲ្យមានបញ្ហាក្រុមគ្រួសារ ជីវភាពក្នុងក្រុមគ្រួសារអីអញ្ចឹងទៅ,គឺចាយលុយអស់ចំនួន១០០ដុល្លារអីអញ្ចឹងទៅ ដូច្នេះវាធ្វើឱ្យមានបញ្ហាក្រុមកូសាជីវភាពក្នុងក្រុមកូសាអីអញ្ចឹងទៅ,7_29.wav,16000
